Benchmark;Dimensions;OffspringPopSize;GenerationsNumber;AllowQuadraticTerms;UseRedundantConstraintsRemoving;UseSeeding;UseDataNormalization;ConstraintsNumber;NonZeroTermsNumber;JaccardTrainingSet;JaccardTestSet;Precision;Recall;F1Score;MeanAngle;LastFitnessScore;NumberOfGenerationBestSolutionTakenFrom;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;Accuracy;FallOut;FalseDiscoveryRate;FalseOmissionRate;MissRate;NegativePredictiveValue;Specificity
Simplexn;3;1000;100;False;True;False;True;6;---;0,938436962316828;0,729944767570834;0,73953143243274;0,980131765374661;0,836934810100114;0,279997928658283;0,936941824613097;92;1266;510;98199;26;0,994648333333333;0,0051624279663896;0,26046856756726;0,000260790552716572;0,0198682346253389;0,999739209447283;0,99483757203361
Simplexn;3;1000;100;False;True;True;False;5;---;0,965361081519182;0;0;NaN;NaN;0,22951563595388;0,964426803380909;73;0;1458;98542;0;0,985424666666667;0,0145753333333333;1;0;NaN;1;0,985424666666667
Simplexn;3;1000;100;False;True;True;True;6;---;0,950447053092457;0;0;NaN;NaN;0,306384927000006;0,949643014708018;91;0;1641;98359;0;0,983588333333333;0,0164116666666667;1;0;NaN;1;0,983588333333333
Simplexn;4;100;1000;False;True;False;False;6;---;0,0450027344348245;0,00464816797022186;0,00852005890736293;0,118751591584332;NaN;0,887442028657981;0,00258126195028681;156;15;5906;93967;112;0,939817666666667;0,0591315861678113;0,991479941092637;0,00117509361289416;0,881248408415667;0,998824906387106;0,940868413832189
Simplexn;4;100;1000;False;True;False;True;8;---;0,254381782585714;0,00931451640033982;0,0096442102682004;0,903318573621105;0,0182924198288094;1,44019553025783;0;113;114;21192;78681;13;0,787948333333333;0,212188128758962;0,9903557897318;0,000133296206270106;0,0966814263788948;0,99986670379373;0,787811871241038
Simplexn;4;100;1000;False;True;True;False;10;---;0,393244772664172;0;0;NaN;NaN;1,40679232927967;0,00258126195028681;1;0;2985;97015;0;0,970147666666667;0,0298523333333333;1;0;NaN;1;0,970147666666667
Simplexn;4;100;1000;False;True;True;True;9;---;0,413979316624892;0;0;NaN;NaN;1,44155964983355;0;101;0;3849;96151;0;0,961505666666666;0,0384943333333333;1;0;NaN;1;0,961505666666666
Simplexn;4;200;500;False;True;False;False;7;---;0,429762911516142;0,189221228695621;0,197990548148144;0,452943973890008;NaN;0,548720997360121;0,410847251042567;185;57;1700;98173;70;0,982301333333333;0,0170190358913624;0,802009451851855;0,000717825584763894;0,547056026109992;0,999282174415236;0,982980964108638
Simplexn;4;200;500;False;True;False;True;9;---;0,539956179553634;0,0920987335753756;0,0927808209976314;0,958693409715935;0,152701033194703;1,05445546893653;0,422057095349369;231;122;13171;86702;5;0,86824;0,13187507214595;0,907219179002369;5,36124528501899E-05;0,0413065902840647;0,99994638754715;0,86812492785405
Simplexn;4;200;500;False;True;True;False;9;---;0,654639634300554;0;0;NaN;NaN;0,902790488876449;0,441973305935689;190;0;1802;98198;0;0,981983666666667;0,0180163333333333;1;0;NaN;1;0,981983666666667
Simplexn;4;200;500;False;True;True;True;9;---;0,637330239788128;0;0;NaN;NaN;1,01363208674622;0,428800880317922;217;0;1991;98009;0;0,980086666666667;0,0199133333333333;1;0;NaN;1;0,980086666666667
Simplexn;4;500;200;False;True;False;False;7;---;0,914073302526002;0,494062056864104;0,497915118517075;0,922505375685034;NaN;0,228383651893079;0,913478953668576;137;117;419;99454;10;0,995711333333333;0,00419077124448483;0,502084881482925;0,000103624710626904;0,0774946243149663;0,999896375289373;0,995809228755515
Simplexn;4;500;200;False;True;False;True;10;---;0,889182118721457;0,236070308565824;0,237382020465237;0,97815205713011;0,36562006892678;0,560241800031536;0,876931386666782;172;124;2564;97309;3;0,974333666666667;0,0256690921581017;0,762617979534763;2,81875083908756E-05;0,0218479428698904;0,999971812491609;0,974330907841898
Simplexn;4;500;200;False;True;True;False;7;---;0,939827436113661;0;0;NaN;NaN;0,323059393484605;0,912007656126243;126;0;731;99269;0;0,992686666666667;0,00731333333333332;1;0;NaN;1;0,992686666666667
